idData;nrOrders;nrPostMen;idOrder;idPostMan;maxLoad;currentLoad;activeOrder;personalGain;distance;goingToPostOfiice;estimatedTime;proposal;decision
68;7;11;7;7;7;0;0;1.8;16.213926483209857;0;12;0.7002;0
69;7;11;7;5;7;0;0;2;17.294289510160763;0;12;0.83;0
70;7;11;7;9;7;0;0;1.6;15.669376845583162;0;12;0.6016;0
71;7;11;7;4;7;0;4;1.1;13.306139026068614;1;12;0.34430000000000005;1
72;7;11;7;8;7;0;0;1.7;15.287716800541268;0;12;0.6239;0
73;7;11;7;3;4;0;0;1.5;15.287716800541268;0;12;0.5505;0
74;7;11;7;1;10;1;1;1.3;21.39910192733505;0;12;0.6669;0
75;7;11;7;6;7;0;0;1.9;15.468258017760393;0;12;0.7049;0
76;7;11;7;2;9;0;0;1.4;15.880075947787669;0;12;0.5334;0
77;7;11;7;11;7;0;0;2.4;16.112694396044272;0;12;0.9264;0
78;8;11;8;6;7;0;0;1.9;9.960084918813212;0;36;0.45409999999999995;0
79;7;11;8;4;7;4;4;1.1;10.710128995019048;0;36;0.2827;1
80;8;11;8;8;7;0;0;1.7;9.779543701594088;0;36;0.39949999999999997;0
81;8;11;8;7;7;0;0;1.8;10.705753384262678;0;36;0.4626;0
82;8;11;8;9;7;0;0;1.6;10.161203746635984;0;36;0.3904;0
83;8;11;8;3;4;0;0;1.5;9.779543701594088;0;36;0.3525;0
84;8;11;8;5;7;0;0;2;11.786116411213584;0;36;0.566;0
85;8;11;8;2;9;0;0;1.4;10.371902848840488;0;36;0.34859999999999997;0
86;8;11;8;11;7;0;0;2.4;10.604521297097092;0;36;0.6096;0
87;8;11;8;10;7;0;0;2.2;9.33233010609413;0;36;0.4928;0
88;7;11;8;1;10;1;1;1.3;19.312595495054538;0;36;0.6019;0
89;9;11;9;1;10;0;0;1.3;30.435880078802505;0;96;0.9503;0
90;9;11;9;3;4;0;0;1.5;20.01557764452942;0;96;0.7215;0
91;9;11;9;7;7;0;0;1.8;20.941787327198007;0;96;0.9054;0
92;9;11;9;9;7;0;0;1.6;20.397237689571313;0;96;0.784;0
93;9;11;9;6;7;0;0;1.9;20.196118861748545;0;96;0.9215;0
94;9;11;9;2;9;0;0;1.4;20.60793679177582;0;96;0.693;0
95;9;11;9;8;7;0;0;1.7;20.01557764452942;0;96;0.8177;0
96;9;11;9;10;7;0;0;2.2;19.568364049029462;0;96;1.034;0
97;9;11;9;5;7;0;0;2;22.022150354148913;0;96;1.058;0
98;9;11;9;4;7;4;5;1.1;24.15738353499637;0;96;0.638;1
99;9;11;9;11;7;0;0;2.4;20.840555240032423;0;96;1.2;0
100;10;11;10;8;7;0;0;1.7;20.546679791417972;0;60;0.8381;0
101;10;11;10;4;7;3;5;1.1;26.129807871199105;0;60;0.6897000000000001;0
102;10;11;10;9;7;0;0;1.6;20.928339836459866;0;60;0.8032;0
103;10;11;10;11;7;0;0;2.4;21.371657386920976;0;60;1.2288;0
104;10;11;10;3;4;0;0;1.5;20.546679791417972;0;60;0.7395;1
105;10;11;10;5;7;0;0;2;22.553252501037466;0;60;1.082;0
106;10;11;10;7;7;0;0;1.8;21.47288947408656;0;60;0.927;0
107;10;11;10;10;7;0;0;2.2;20.099466195918016;0;60;1.0604;0
108;10;11;10;2;9;0;0;1.4;21.139038938664374;0;60;0.7098;0
109;10;11;10;6;7;0;0;1.9;20.7272210086371;0;60;0.9442999999999999;0
110;10;11;10;1;10;0;0;1.3;30.966982225691062;0;60;0.9659;0
111;11;11;11;2;9;0;0;1.4;7.473200746786343;0;24;0.2506;0
112;11;11;11;9;7;0;0;1.6;7.262501644581838;0;24;0.2784;0
113;11;11;11;11;7;0;0;2.4;7.705819195042947;0;24;0.4416;0
114;11;11;11;4;7;3;6;1.1;14.469254532653368;0;24;0.3817;0
115;11;11;11;10;7;0;0;2.2;6.433628004039985;0;24;0.33880000000000005;0
116;11;11;11;8;7;0;0;1.7;6.880841599539943;0;24;0.2805;0
117;11;11;11;6;7;0;0;1.9;7.0613828167590675;0;24;0.3211;0
